URL,Fully equipped kitchen,Garden Area,Surface of the land,Number of facades,Locality,Terrace,Swimming pool,Subtype of property,Living Area,Open fire,Type of property,Furnished,Price,State of the building,Garden,Terrace Area,Surface area of the plot of land,Number of rooms
https://www.immoweb.be/en/classified/apartment/for-sale/berchem-sainte-agathe/1082/20257893,Installed,,,3,1082 Berchem-Sainte-Agathe,,,Apartment,,,Apartment,,259000,Just renovated,,3,,3
https://www.immoweb.be/en/classified/apartment/for-sale/arlon-freylange/6700/20257821,Installed,,,3,6700 Arlon (Freylange),,,Apartment,,,Apartment,,275000,Good,,17,,2
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/20257835,Semi equipped,,,2,6700 Arlon,,,Apartment,,,Apartment,,299000,Good,,,,4
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20256765,Installed,,,2,8620 NIEUWPOORT,,,Apartment,,,Apartment,,445000,As new,,7,,2
https://www.immoweb.be/en/classified/kot/for-sale/boussu/7301/20315243,Installed,,,2,7301 Boussu,,,Kot,,,Kot,Yes,55000,Good,,,,1
https://www.immoweb.be/en/classified/ground-floor/for-sale/de-haan/8420/20314063,,,,,8420 De Haan,,,Ground floor,,,Ground floor,,87000,As new,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8200/20314115,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20315950,,,,2,2100 Deurne,,,Apartment,,,Apartment,,219000,Good,,4,,2
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20316884,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20299862,Hyper equipped,,,2,1030 Schaerbeek,,,Apartment,,,Apartment,,290000,As new,,8,,3
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20102478,,,,2,8300 Knokke-Heist,,,Apartment,,,Apartment,No,665000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20293132,Hyper equipped,,,2,8300 Knokke-Heist,,,Apartment,,,Apartment,No,880000,Just renovated,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/leglise/6860/20309089,Installed,,,4,6860 LÉGLISE,,,Apartment,,,Apartment,No,235000,As new,,9,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1120/20309645,Hyper equipped,,,2,1120 Bruxelles,,,Apartment,,,Apartment,No,259000,Good,,4,,2
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/20306758,,,,,,,,Apartment,,,Apartment,No,495000,As new,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20110045,Installed,40,,2,4000 Liège,,,Apartment,,,Apartment,No,174000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20267618,Installed,,,,8800 Roeselare,Yes,,Apartment,,,Apartment,,210000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20266432,Installed,,,2,2600 BERCHEM,,,Apartment,,,Apartment,,315000,Good,,8,,3
https://www.immoweb.be/en/classified/apartment/for-sale/strombeek-bever/1853/20260079,Semi equipped,,,2,1853 STROMBEEK-BEVER,Yes,,Apartment,,,Apartment,,320000,As new,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/20265172,Hyper equipped,,,,9900 Eeklo,Yes,,Apartment,,,Apartment,,329000,As new,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20230997,Not installed,,,2,1180 Uccle,,,Apartment,,,Apartment,,660000,As new,,28,,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-zoute/8300/20266524,Hyper equipped,,,2,8300 Knokke-Zoute,Yes,,Apartment,,,Apartment,No,2375000,Good,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20194555,Installed,,,2,4000 Liège,Yes,,Apartment,,,Apartment,No,175000,Good,,,,1
https://www.immoweb.be/en/classified/ground-floor/for-sale/seraing-ougree/4102/20212228,Installed,,,4,4102 Seraing Ougrée,,,Ground floor,,,Ground floor,No,189500,Good,,26,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/saint-gilles/1060/20239183,Installed,,,2,1060 Saint-Gilles,,,Flat studio,,,Flat studio,No,200000,Good,,2,,1
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20178977,Hyper equipped,,,2,1070 Anderlecht,,,Apartment,,,Apartment,,215000,Good,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20228466,Semi equipped,,,2,4000 Liège,,,Apartment,,,Apartment,No,220000,Good,,17,,2
https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20266102,Installed,,,3,1160 Auderghem,,,Apartment,,,Apartment,Yes,222500,Good,,8,,1
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20278814,Installed,,,2,9000 Gent,,,Apartment,,,Apartment,No,225000,Good,,4,,1
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20179052,Hyper equipped,,,2,1070 Anderlecht,,,Apartment,,,Apartment,,229000,Good,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20178981,Hyper equipped,,,2,1070 Anderlecht,,,Apartment,,,Apartment,,229000,Good,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20178979,Hyper equipped,,,2,1070 Anderlecht,,,Apartment,,,Apartment,,229000,Good,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/huy/4500/20269434,Installed,,,2,4500 Huy,Yes,,Apartment,,,Apartment,No,235000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/zelzate/9060/20217864,,,,,9060 Zelzate,,,Apartment,,,Apartment,No,285000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20252137,Hyper equipped,,,2,1000 Bruxelles,,,Apartment,,,Apartment,No,289000,Good,,,,1
https://www.immoweb.be/en/classified/ground-floor/for-sale/ixelles/1050/20281254,Installed,,,2,1050 Ixelles,,,Ground floor,,,Ground floor,No,295000,Good,,15,,1
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20274561,Hyper equipped,,,2,1050 Ixelles,,,Apartment,,,Apartment,,325000,Just renovated,,6,,1
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20282695,,,,,9000 Gent,,,Apartment,,,Apartment,,335000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20258232,Installed,,,3,1000 Bruxelles,,,Apartment,,,Apartment,,356000,As new,,9,,2
https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/20266744,Hyper equipped,,,2,1020 Laeken,,,Apartment,,,Apartment,No,369000,Good,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20261629,Hyper equipped,,,2,1180 Uccle,,,Apartment,,,Apartment,No,370000,Good,,7,,4
https://www.immoweb.be/en/classified/apartment/for-sale/ottignies-louvain-la-neuve/1340/20245712,Hyper equipped,,,2,1340 Ottignies-Louvain-la-Neuve,,,Apartment,,,Apartment,No,385000,As new,,16,,2
https://www.immoweb.be/en/classified/apartment/for-sale/jambes/5100/20283462,Semi equipped,,,3,5100 JAMBES,,,Apartment,,,Apartment,,430000,Good,,11,,2
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20262024,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/20254034,Hyper equipped,,,2,1050 Ixelles,,,Duplex,,,Duplex,No,469000,Just renovated,,,,1
https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/20254033,Hyper equipped,,,2,1180 Uccle,,,Duplex,,,Duplex,No,469000,Just renovated,,,,1
https://www.immoweb.be/en/classified/duplex/for-sale/uccle/1180/20253819,Hyper equipped,,,2,1180 Uccle,,,Duplex,,,Duplex,No,469000,Just renovated,,,,1
https://www.immoweb.be/en/classified/duplex/for-sale/forest/1190/20254017,Hyper equipped,,,2,1190 Forest,,,Duplex,,,Duplex,No,469000,Just renovated,,,,1
https://www.immoweb.be/en/classified/duplex/for-sale/forest/1190/20253842,Hyper equipped,,,2,1190 Forest,,,Duplex,,,Duplex,No,469000,Just renovated,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20223204,Installed,,,2,1050 Ixelles,,,Apartment,,,Apartment,No,475000,Good,,12,,2
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/20268501,Hyper equipped,,,2,1200 Woluwe-Saint-Lambert,,,Apartment,,,Apartment,No,536500,As new,,13,,2
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20213304,Hyper equipped,,,2,1000 Bruxelles,,,Duplex,,,Duplex,No,560000,Good,,5,,2
https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/20274789,Hyper equipped,,,2,1050 Ixelles,,,Duplex,,,Duplex,,595000,Just renovated,,16,,2
https://www.immoweb.be/en/classified/ground-floor/for-sale/woluwe-saint-lambert/1200/20265725,Hyper equipped,65,,2,1200 Woluwe-Saint-Lambert,Yes,,Ground floor,,,Ground floor,No,595000,Good,,,,3
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20277180,Hyper equipped,,,2,1000 Bruxelles,,,Duplex,,,Duplex,No,645000,Good,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20229443,Hyper equipped,,,2,8300 Knokke-Heist,,,Apartment,,,Apartment,No,695000,Good,,4,,2
https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/20283322,Hyper equipped,,,2,1030 Schaerbeek,Yes,,Apartment,,,Apartment,No,750000,Just renovated,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20230179,Hyper equipped,,,3,1000 Bruxelles,,,Apartment,,,Apartment,No,795000,Just renovated,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20282816,,,,,9000 Gent,,,Apartment,,,Apartment,No,895000,Good,,35,,2
https://www.immoweb.be/en/classified/apartment/for-sale/menen/8930/20298835,Installed,,,2,8930 Menen,,,Apartment,,,Apartment,,89000,To be done up,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20298237,Installed,,,3,1000 BRUSSEL,,,Apartment,,,Apartment,Yes,215000,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/amougies/7750/20298928,Installed,,,2,7750 AMOUGIES,,,Apartment,,,Apartment,,260000,Good,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/denderleeuw/9470/20313552,Installed,,,2,9470 Denderleeuw,Yes,,Apartment,,,Apartment,,209000,Good,,,,2
https://www.immoweb.be/en/classified/duplex/for-sale/stabroek/2940/20312842,Hyper equipped,,,2,2940 Stabroek,,,Duplex,,,Duplex,No,249000,Good,,30,,1
https://www.immoweb.be/en/classified/apartment/for-sale/aalter/9880/20312173,,,,,9880 Aalter,,,Apartment,,,Apartment,,299000,As new,,50,,2
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20312714,Installed,,,2,1050 IXELLES,,,Apartment,,,Apartment,No,595000,Good,,15,,3
https://www.immoweb.be/en/classified/apartment/for-sale/izegem/8870/20279614,,,,,8870 Izegem,,,Apartment,,,Apartment,,145000,Good,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20208952,Semi equipped,,,,1081 Koekelberg,,,Apartment,,,Apartment,,249000,To renovate,,5,,3
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20241236,Hyper equipped,,,2,1150 Woluwe-Saint-Pierre,,,Apartment,,,Apartment,No,475000,To be done up,,12,,4
https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/etterbeek/1040/20317013,,,,,1040 Etterbeek,,,Aduatiques,,,Aduatiques,,From750000To800000,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20290942,Installed,,,,9000 Gent,,,Apartment,,,Apartment,No,235000,Good,,,,1
https://www.immoweb.be/en/classified/duplex/for-sale/putte/2580/20290952,Installed,,,,2580 Putte,Yes,,Duplex,,,Duplex,,255000,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/20291580,Installed,,,2,1020 Bruxelles,,,Apartment,,,Apartment,No,295000,Good,,10,,3
https://www.immoweb.be/en/classified/duplex/for-sale/saint-josse-ten-noode/1210/20291719,Hyper equipped,,,2,1210 Saint-Josse-ten-Noode,,,Duplex,,,Duplex,No,335000,As new,,,,2
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/20291735,Semi equipped,,,2,1000 Bruxelles,Yes,,Duplex,,,Duplex,No,365000,Just renovated,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/liege/4000/20306883,Installed,,,2,4000 LIÈGE,,,Apartment,,,Apartment,,180000,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/20305227,,,,2,3000 Leuven,Yes,,Apartment,,,Apartment,No,265000,Good,,,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/leuven-heverlee/3001/20305226,Hyper equipped,32,,2,3001 Leuven Heverlee,,,Flat studio,,,Flat studio,Yes,279000,As new,,13,,1
https://www.immoweb.be/en/classified/flat-studio/for-sale/bruxelles/1000/20307826,Installed,,,2,1000 Bruxelles,,,Flat studio,,,Flat studio,No,345000,Just renovated,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20258665,,,,,9820 Merelbeke,,,Apartment,,,Apartment,No,284000,Good,,3,,2
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20295060,Installed,,,,1140 EVERE,,,Apartment,,,Apartment,No,249000,Good,,12,,3
https://www.immoweb.be/en/classified/loft/for-sale/meise/1861/20297330,Hyper equipped,500,,4,1861 Meise,,,Loft,,,Loft,,333333,As new,,20,,1
https://www.immoweb.be/en/classified/apartment/for-sale/zottegem/9620/20275527,,,,,9620 Zottegem,Yes,,Apartment,,,Apartment,,165000,Good,,,,1
https://www.immoweb.be/en/classified/penthouse/for-sale/oudenaarde/9700/20276050,Hyper equipped,,,2,9700 OUDENAARDE,,,Penthouse,,,Penthouse,,1850000,As new,,300,,3
https://www.immoweb.be/en/classified/apartment/for-sale/auderghem/1160/20296845,Semi equipped,,,2,1160 Auderghem,,,Apartment,,,Apartment,No,299000,To be done up,,2,,2
