URL,Number of facades,Number of rooms,Terrace,Type of property,Swimming pool,Garden Area,Surface of the land,Locality,Living Area,Terrace Area,Fully equipped kitchen,State of the building,Furnished,Surface area of the plot of land,Garden,Open fire,Subtype of property,Price
https://www.immoweb.be/en/classified/villa/for-sale/wellen/3830/20302597,,4,,Villa,,,,3830 Wellen,,,,Good,,,,,Villa,580000
https://www.immoweb.be/en/classified/house/for-sale/ramillies/1367/20300905,4,4,Yes,House,,,,1367 Ramillies,,,Installed,Good,No,,,,House,650000
https://www.immoweb.be/en/classified/house/for-sale/ramillies/1367/20300904,4,4,Yes,House,,,,1367 Ramillies,,,Installed,Good,No,,,,House,650000
https://www.immoweb.be/en/classified/house/for-sale/lede/9340/20210124,3,2,,House,,,,9340 Lede,,45,Installed,To be done up,No,,,,House,139000
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20133657,2,2,,House,,40,,9600 Ronse,,,Semi equipped,To renovate,No,,,,House,149000
https://www.immoweb.be/en/classified/house/for-sale/nassogne/6950/20215816,4,2,,House,,322,,6950 Nassogne,,,,To be done up,No,,,,House,180000
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20227743,2,4,,House,,,,4000 Li�ge,,42,,Good,No,,,,House,189000
https://www.immoweb.be/en/classified/town-house/for-sale/ans/4430/20233780,2,3,,Town-house,,,,4430 Ans,,17,Installed,To renovate,No,,,,Town-house,199000
https://www.immoweb.be/en/classified/house/for-sale/grace-hollogne/4460/20283074,2,2,,House,,78,,4460 Gr�ce-Hollogne,,50,Installed,Good,No,,,,House,199000
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ronse/9600/20181508,2,4,,Mixed-use building,,250,,9600 Ronse,,25,Semi equipped,Good,No,,,,Mixed-use building,229000
https://www.immoweb.be/en/classified/house/for-sale/flemalle-grande/4400/20284076,2,2,,House,,,,4400 FL�MALLE-GRANDE,,16,Not installed,To restore,,,,,House,230000
https://www.immoweb.be/en/classified/apartment-block/for-sale/flemalle-grande/4400/20284075,2,2,,Apartment block,,,,4400 FL�MALLE-GRANDE,,16,Not installed,To restore,,,,,Apartment block,230000
https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4000/20212241,2,5,Yes,Apartment block,,60,,4000 Li�ge,,,Installed,To renovate,No,,,,Apartment block,249900
https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/20213848,2,3,,House,,300,,9600 Ronse,,20,Hyper equipped,As new,No,,,,House,259000
https://www.immoweb.be/en/classified/house/for-sale/rouvroy-torgny/6767/20283823,3,5,Yes,House,,,,6767 Rouvroy Torgny,,,,To renovate,No,,,,House,269000
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ronse/9600/20165312,2,5,,Mixed-use building,,,,9600 Ronse,,,Installed,To be done up,No,,,,Mixed-use building,269500
https://www.immoweb.be/en/classified/house/for-sale/jauche/1350/20220123,4,3,,House,,1063,,1350 Jauche,,95,Installed,To be done up,No,,,,House,299000
https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/20220119,4,3,,House,,1063,,1370 Jodoigne,,95,Installed,To be done up,No,,,,House,299000
https://www.immoweb.be/en/classified/house/for-sale/zaventem/1932/20268794,2,3,,House,,28,,1932 Zaventem,,28,Semi equipped,To be done up,No,,,,House,359000
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20281407,3,3,,House,,150,,9500 Geraardsbergen,,51,Hyper equipped,As new,No,,,,House,365000
https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20277623,2,4,Yes,House,,40,,1070 Anderlecht,,,Hyper equipped,As new,No,,,,House,395000
https://www.immoweb.be/en/classified/villa/for-sale/juprelle-fexhe-slins/4458/20135841,4,5,,Villa,,1000,,4458 Juprelle Fexhe-Slins,,30,Installed,Good,No,,,,Villa,410000
https://www.immoweb.be/en/classified/villa/for-sale/cornesse/4860/20249577,4,4,Yes,Villa,,200,,4860 Cornesse,,,Installed,Good,No,,,,Villa,419000
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20275556,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/villa/for-sale/braine-lalleud/1420/20276682,4,3,,Villa,,223,,1420 Braine-l'Alleud,,15,Hyper equipped,Good,No,,,,Villa,450000
https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20275504,2,4,,House,,,,1700 Dilbeek,,11,Hyper equipped,As new,,,,,House,525000
https://www.immoweb.be/en/classified/house/for-sale/lembeke/9971/20285257,,3,,House,,,,9971 Lembeke,,,Installed,Good,No,,,,House,549000
https://www.immoweb.be/en/classified/house/for-sale/roeselare/8800/20253521,,6,Yes,House,,,,8800 Roeselare,,,Installed,Good,,,,,House,589000
https://www.immoweb.be/en/classified/house/for-sale/ottignies-louvain-la-neuve-ceroux-mousty/1341/20195663,4,3,,House,,700,,1341 Ottignies-Louvain-la-Neuve C�roux-Mousty,,50,Hyper equipped,As new,No,,,,House,595000
https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20209136,3,3,Yes,House,,230,,1200 Woluwe-Saint-Lambert,,,Semi equipped,Good,No,,,,House,650000
https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-woluwe/1150/20222826,3,4,,House,,,,1150 Sint-Pieters-Woluwe,,4,Installed,To be done up,No,,,,House,698000
https://www.immoweb.be/en/classified/mansion/for-sale/antwerpen/2600/20310074,2,3,,Mansion,,,,2600 Antwerpen,,22,Hyper equipped,As new,,,,,Mansion,875000
https://www.immoweb.be/en/classified/house/for-sale/gent-drongen/9031/20280229,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/20210813,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309794,3,3,,House,,,,9800 Deinze,,,Installed,As new,No,,,,House,337000
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309792,3,3,,House,,,,9800 Deinze,,,Installed,As new,No,,,,House,337000
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309787,3,3,,House,,,,9800 Deinze,,,Installed,As new,No,,,,House,337000
https://www.immoweb.be/en/classified/town-house/for-sale/nazareth/9810/20309828,2,3,,Town-house,,,,9810 Nazareth,,,Installed,As new,No,,,,Town-house,347551
https://www.immoweb.be/en/classified/town-house/for-sale/nazareth/9810/20309786,2,3,,Town-house,,,,9810 Nazareth,,,Installed,As new,No,,,,Town-house,347551
https://www.immoweb.be/en/classified/town-house/for-sale/nazareth/9810/20309785,2,3,,Town-house,,,,9810 Nazareth,,,Installed,As new,No,,,,Town-house,347551
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309798,3,3,,House,,,,9800 Deinze,,,Installed,As new,No,,,,House,351000
https://www.immoweb.be/en/classified/exceptional-property/for-sale/bievre-oizy/5555/20273105,2,5,,Exceptional property,,123,,5555 Bi�vre Oizy,,18,Hyper equipped,As new,No,,,,Exceptional property,359000
https://www.immoweb.be/en/classified/town-house/for-sale/nazareth/9810/20309788,2,3,,Town-house,,,,9810 Nazareth,,,Installed,As new,No,,,,Town-house,379551
https://www.immoweb.be/en/classified/town-house/for-sale/nazareth/9810/20309784,2,3,,Town-house,,,,9810 Nazareth,,,Installed,As new,No,,,,Town-house,379551
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20309789,3,3,,House,,,,9800 Deinze,,,Installed,As new,No,,,,House,383011
https://www.immoweb.be/en/classified/house/for-sale/halle/1500/20275524,3,2,,House,,50,,1500 HALLE,,25,Semi equipped,Good,,,,,House,385000
https://www.immoweb.be/en/classified/house/for-sale/diksmuide/8600/20278453,,7,Yes,House,,,,8600 Diksmuide,,,Installed,To be done up,No,,,,House,309000
https://www.immoweb.be/en/classified/house/for-sale/oedelem/8730/20310632,,2,,House,,,,8730 Oedelem,,,,,,,,,House,299000
