URL,Type of property,Terrace,Open fire,Price,Garden Area,Surface of the land,Terrace Area,Number of rooms,Subtype of property,Fully equipped kitchen,State of the building,Locality,Living Area,Number of facades,Surface area of the plot of land,Swimming pool,Garden,Furnished
https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/20312232,House,Yes,,460000,100,,,4,House,Not installed,To be done up,1160 Auderghem,,2,,,,No
https://www.immoweb.be/en/classified/villa/for-sale/waregem/8792/20312549,Villa,Yes,,485000,,,,3,Villa,Installed,Good,8792 WAREGEM,,4,,,,
https://www.immoweb.be/en/classified/villa/for-sale/eupen/4700/20313868,Villa,,,575000,,,40,5,Villa,Not installed,To be done up,4700 Eupen,,4,,,,No
https://www.immoweb.be/en/classified/house/for-sale/kapelle-op-den-bos/1880/20313915,House,Yes,,625000,,,,4,House,Semi equipped,To be done up,1880 KAPELLE-OP-DEN-BOS,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/asse/1730/20313582,House,Yes,,749000,,,,5,House,Hyper equipped,Good,1730 Asse,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/aalst-9300/9300/20313514,House,Yes,,749000,,,,5,House,Hyper equipped,Good,9300 Aalst (9300),,,,,,
https://www.immoweb.be/en/classified/house/for-sale/meldert-9310/9310/20313520,House,Yes,,749000,,,,5,House,Hyper equipped,Good,9310 Meldert (9310),,,,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/20313353,Apartment block,Yes,,795000,,,,5,Apartment block,Installed,As new,1060 Saint-Gilles,,2,,,,No
https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/20311596,House,,,1195000,,,,3,House,Hyper equipped,As new,9300 AALST,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/20296298,House,Yes,,320000,37,,,4,House,Installed,Just renovated,2800 Mechelen,,2,,,,
https://www.immoweb.be/en/classified/villa/for-sale/tielt/8700/20309154,Villa,,,539000,1000,,40,5,Villa,Semi equipped,To be done up,8700 Tielt,,4,,,,
https://www.immoweb.be/en/classified/house/for-sale/gavere-semmerzake/9890/20305712,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/20306559,House,,,649000,87,,15,4,House,Hyper equipped,Good,1160 Auderghem,,2,,,,No
