URL,Number of rooms,Surface area of the plot of land,State of the building,Type of property,Garden Area,Fully equipped kitchen,Price,Garden,Surface of the land,Locality,Subtype of property,Living Area,Furnished,Number of facades,Terrace,Open fire,Terrace Area,Swimming pool
https://www.immoweb.be/en/classified/apartment/for-sale/gentbrugge/9050/20275554,3,,As new,Apartment,280,Hyper equipped,649000,,,9050 Gentbrugge,Apartment,,,,Yes,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-pierre/1150/20269454,3,,As new,Penthouse,,Hyper equipped,790000,,,1150 Woluwe-Saint-Pierre,Penthouse,,No,2,,,30,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20189683,3,,Good,Apartment,,Installed,925000,,,1000 Bruxelles,Apartment,,No,2,,,1square meter,
https://www.immoweb.be/en/classified/loft/for-sale/molenbeek/1080/20310754,1,,Good,Loft,,Semi equipped,192000,,,1080 Molenbeek,Loft,,,2,,,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/durbuy/6940/20294655,2,,To be done up,Ground floor,,Semi equipped,99000,,,6940 Durbuy,Ground floor,,No,2,,,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/kinrooi/3640/20296258,2,,,Ground floor,42,Installed,263000,,,3640 KINROOI,Ground floor,,,,,,24,
https://www.immoweb.be/en/classified/ground-floor/for-sale/kinrooi/3640/20296265,2,,,Ground floor,15,Installed,284000,,,3640 KINROOI,Ground floor,,,,,,14,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20296853,2,,Good,Apartment,,Installed,349000,,,2018 Antwerpen,Apartment,,,2,,,,
https://www.immoweb.be/en/classified/penthouse/for-sale/nazareth/9810/20313263,3,,As new,Penthouse,,Hyper equipped,547000,,,9810 Nazareth,Penthouse,,No,2,,,14,
https://www.immoweb.be/en/classified/flat-studio/for-sale/roeselare/8800/20285817,1,,Good,Flat studio,,Installed,135000,,,8800 Roeselare,Flat studio,,No,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20290247,1,,Good,Apartment,,Installed,209000,,,2000 ANTWERPEN,Apartment,,,2,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/20285820,2,,Good,Apartment,,Installed,229000,,,8800 Roeselare,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-idesbald/8670/20287600,3,,To renovate,Apartment,,Semi equipped,249000,,,8670 Sint-Idesbald,Apartment,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/20287599,,,,,,,,,,,,,,,,,,
