URL,Locality,Furnished,Open fire,Garden Area,Type of property,Terrace,Garden,Price,Subtype of property,Fully equipped kitchen,Surface of the land,Number of facades,State of the building,Surface area of the plot of land,Swimming pool,Living Area,Terrace Area,Number of rooms
https://www.immoweb.be/en/classified/service-flat/for-sale/nieuwpoort/8620/10877332,8620 Nieuwpoort,No,,,Service flat,Yes,,275000,Service flat,,,,Good,,,,,1
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20217904,9940 Evergem,No,,,Apartment,Yes,,285000,Apartment,Installed,,,Just renovated,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/evergem/9940/20142880,9940 Evergem,No,,,Apartment,Yes,,285000,Apartment,Installed,,,Just renovated,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/sint-amandsberg/9040/11435517,9040 SINT-AMANDSBERG,,,,Apartment,,,290000,Apartment,Installed,,,To be done up,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9040/11427280,9040 GENT,,,,Apartment,,,290000,Apartment,Installed,,,To be done up,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/de-panne/8660/20059027,8660 De Panne,,,,Apartment,,,295000,Apartment,Semi equipped,,,To be done up,,,,28,1
https://www.immoweb.be/en/classified/apartment/for-sale/oostakker/9041/20232546,9041 Oostakker,,,,Apartment,Yes,,298000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/duplex/for-sale/bruxelles/1000/11489571,1000 Bruxelles,No,,14,Duplex,,,299000,Duplex,Hyper equipped,,2,As new,,,,14,1
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20242871,8620 Nieuwpoort,Yes,,,Apartment,Yes,,299000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/10643181,8400 Oostende,,,,Apartment,Yes,,310000,Apartment,,,,To renovate,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/11471210,8434 Westende,Yes,,,Apartment,Yes,,310000,Apartment,,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/11446009,8434 Westende,Yes,,,Apartment,Yes,,310000,Apartment,,,,Good,,,,,2
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20118961,9000 GENT,,,,Apartment,,,315000,Apartment,Semi equipped,,2,To be done up,,,,15,3
https://www.immoweb.be/en/classified/ground-floor/for-sale/mortsel/2640/20220543,2640 Mortsel,,,100,Ground floor,,,319000,Ground floor,Installed,,2,Just renovated,,,,16,2
https://www.immoweb.be/en/classified/apartment/for-sale/oostakker/9041/11415491,9041 Oostakker,No,,,Apartment,Yes,,319000,Apartment,Installed,,,Good,,,,,2
https://www.immoweb.be/en/classified/duplex/for-sale/strombeek-bever/1853/11257174,1853 Strombeek-Bever,,,,Duplex,,,320000,Duplex,,,,Just renovated,,,,,3
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/11212525,9000 Gent,,,,Apartment,,,329000,Apartment,Installed,,3,Good,,,,5,2
https://www.immoweb.be/en/classified/apartment/for-sale/eeklo/9900/20152697,9900 Eeklo,,,,Apartment,Yes,,329000,Apartment,Hyper equipped,,,As new,,,,,2
