URL,Subtype of property,Number of facades,Number of rooms,Price,Living Area,State of the building,Furnished,Terrace,Open fire,Terrace Area,Surface area of the plot of land,Swimming pool,Garden Area,Surface of the land,Garden,Locality,Type of property,Fully equipped kitchen
https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/20313834,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20293750,House,2,3,365000,,As new,No,,,9,,,15,,,9890 Gavere,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20293743,House,2,3,370000,,As new,No,,,9,,,15,,,9890 Gavere,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20293751,House,2,3,375000,,As new,No,,,9,,,15,,,9890 Gavere,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20293747,House,3,3,376000,,As new,No,,,9,,,15,,,9890 Gavere,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20293772,House,3,3,397000,,As new,No,,,10,,,16,,,9890 Gavere,House,Hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/courcelles/6180/20315883,House,3,2,139000,,To be done up,No,Yes,,,,,,,,6180 Courcelles,House,Not installed
https://www.immoweb.be/en/classified/house/for-sale/manage/7170/20317223,House,2,4,200000,,Good,No,,,28,,,119,,,,House,Semi equipped
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9506/20316036,House,4,4,269000,,To restore,No,,,60,,,1100,,,9506 Geraardsbergen,House,
https://www.immoweb.be/en/classified/house/for-sale/geraardsbergen/9500/20311478,House,4,3,275000,,To be done up,No,,,,,,,,,9500 Geraardsbergen,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/idegem/9506/20311489,House,4,3,275000,,To be done up,No,,,,,,,,,9506 Idegem,House,Installed
https://www.immoweb.be/en/classified/villa/for-sale/ville-pommeroeul/7322/20315289,Villa,4,5,885000,,As new,Yes,Yes,,,,,3600,,,,Villa,Hyper equipped
https://www.immoweb.be/en/classified/country-cottage/for-sale/maarkedal/9681/20316555,Country house,4,8,2650000,,Good,,Yes,,,,,,,,9681 MAARKEDAL,Country house,Installed
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20297144,House,,3,407000,,To be done up,No,,,,,,,,,9000 Gent,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/corroy-le-chateau/5032/20297875,House,4,3,460000,,As new,,,,,,,,,,5032 CORROY-LE-CH�TEAU,House,
https://www.immoweb.be/en/classified/house/for-sale/melsbroek/1820/20299779,House,3,5,549000,,Just renovated,,,,35,,,395,,,1820 MELSBROEK,House,Installed
https://www.immoweb.be/en/classified/villa/for-sale/sint-kruis/8310/20297045,Villa,,6,675000,,As new,,Yes,,,,,,,,8310 Sint-Kruis,Villa,
https://www.immoweb.be/en/classified/house/for-sale/berchem/2600/20300112,House,2,4,742000,,Just renovated,,Yes,,,,,,,,2600 Berchem,House,
https://www.immoweb.be/en/classified/villa/for-sale/sint-pieters-leeuw/1600/20296608,Villa,4,4,895000,,As new,,,,,,,,,,1600 Sint-Pieters-Leeuw,Villa,
https://www.immoweb.be/en/classified/house/for-sale/oupeye/4680/20218547,House,4,2,119000,,To renovate,No,,,,,,40,,,4680 Oupeye,House,Not installed
https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/20202153,House,3,2,165000,,Good,No,,,19,,,30,,,4100 Seraing,House,Installed
https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2140/20276077,House,2,3,359900,,Good,,,,1square meter,,,50,,,2140 ANTWERPEN,House,Installed
