URL,Terrace Area,Living Area,State of the building,Price,Swimming pool,Type of property,Open fire,Furnished,Terrace,Garden,Number of facades,Number of rooms,Subtype of property,Fully equipped kitchen,Locality,Garden Area,Surface of the land,Surface area of the plot of land
https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4020/20304008,,,To be done up,169900,,Apartment block,,No,Yes,,2,6,Apartment block,Installed,4020 Liège,,,
https://www.immoweb.be/en/classified/house/for-sale/borgloon/3840/20305469,,,,179000,,House,,,,,,3,House,,3840 Borgloon,,,
https://www.immoweb.be/en/classified/house/for-sale/nieuwkerke/8950/20304280,,,As new,189500,,House,,,,,4,3,House,,8950 Nieuwkerke,,,
https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/20304599,,,Good,315000,,House,,,,,3,3,House,,9800 Deinze,,,
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20301422,,,Good,345000,,House,,,,,2,2,House,,1180 Uccle,,,
https://www.immoweb.be/en/classified/mansion/for-sale/buggenhout/9255/20305375,,,To renovate,375000,,Mansion,,No,Yes,,3,4,Mansion,,9255 Buggenhout,,,
https://www.immoweb.be/en/classified/villa/for-sale/tubize/1480/20304480,30,,Good,399000,,Villa,,No,,,4,3,Villa,,1480 Tubize,550,,
https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/20304669,44,,Good,479000,,Villa,,No,,,4,4,Villa,,1300 Wavre,986,,
https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20301909,,,Good,545000,,House,,No,,,,6,House,Installed,9700 Oudenaarde,,,
https://www.immoweb.be/en/classified/house/for-sale/kessel-lo/3010/20305607,13,,As new,635000,,House,,,,,2,3,House,,3010 Kessel-Lo,,,
https://www.immoweb.be/en/classified/house/for-sale/olne/4877/20303260,50,,Good,689000,,House,,No,,,4,3,House,Hyper equipped,4877 Olne,1000,,
https://www.immoweb.be/en/classified/house/for-sale/hulshout/2235/20304743,,,As new,695000,,House,,,,,4,4,House,,2235 Hulshout,,,
https://www.immoweb.be/en/classified/mansion/for-sale/lo-reninge/8647/20304693,,,Good,1195000,,Mansion,,,Yes,,4,4,Mansion,,8647 Lo-Reninge,,,
https://www.immoweb.be/en/classified/apartment-block/for-sale/olne/4870/20303201,,,Good,1245000,,Apartment block,,No,Yes,,4,12,Apartment block,Installed,4870 Olne,,,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/gent/9000/20301881,,,Good,1250000,,Mixed-use building,,No,,,,4,Mixed-use building,Installed,9000 Gent,,,
https://www.immoweb.be/en/classified/house/for-sale/leval-trahegnies/7134/20281067,,,To renovate,150000,,House,,,Yes,,3,2,House,Installed,7134 LEVAL-TRAHEGNIES,,,
https://www.immoweb.be/en/classified/house/for-sale/liege/4000/20199303,,,Good,225000,,House,,No,,,2,3,House,,4000 Liège,,,
https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/20282595,,,To renovate,265000,,House,,,,,,3,House,,9860 Oosterzele,,,
https://www.immoweb.be/en/classified/house/for-sale/flemalle/4400/20285993,60,,Good,299000,,House,,No,,,3,3,House,Installed,4400 Flémalle,360,,
https://www.immoweb.be/en/classified/house/for-sale/hoegaarden/3320/20286416,,,As new,315000,,House,,,,,2,4,House,,3320 Hoegaarden,17,,
https://www.immoweb.be/en/classified/house/for-sale/sambreville/5060/20286020,60,,As new,319000,,House,,No,,,3,3,House,Installed,5060 Sambreville,15,,
https://www.immoweb.be/en/classified/house/for-sale/bertrix-jehonville/6880/20220022,50,,Good,329000,,House,,No,,,4,3,House,Semi equipped,6880 Bertrix Jehonville,1500,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/lochristi-zeveneken/9080/20313845,,,,From419248To431938,,"Moderne, halfopen woningen",,,,,,,"Moderne, halfopen woningen",,9080 Lochristi Zeveneken,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/nivelles/1400/20313533,,,,From430000To480000,,,,,,,,,,,1400 Nivelles,,,
https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/rebecq/1430/20313529,,,,From430000To480000,,,,,,,,,,,1430 Rebecq,,,
https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20285514,,,,450000,,House,,No,,,,2,House,,9000 Gent,,,
https://www.immoweb.be/en/classified/house/for-sale/wortegem-petegem/9790/20282671,,,Just renovated,598000,,House,,No,,,3,3,House,,9790 Wortegem-Petegem,,,
https://www.immoweb.be/en/classified/house/for-sale/holsbeek/3220/20264334,,,As new,650000,,House,,No,Yes,,4,5,House,Hyper equipped,3220 Holsbeek,,,
