URL,Garden Area,Garden,Price,Type of property,Subtype of property,Open fire,State of the building,Surface of the land,Locality,Fully equipped kitchen,Number of facades,Terrace,Living Area,Swimming pool,Furnished,Number of rooms,Surface area of the plot of land,Terrace Area
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20240185,,,249000,Apartment,Apartment,,Good,,8400 Oostende,,,,,,No,2,,4
https://www.immoweb.be/en/classified/apartment/for-sale/wenduine/8420/11468677,,,249000,Apartment,Apartment,,Good,,8420 WENDUINE,,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20077468,,,250000,Apartment,Apartment,,To be done up,,1000 Bruxelles,Hyper equipped,2,,,,No,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11182884,,,258000,Apartment,Apartment,,Good,,8400 Oostende,Installed,,Yes,,,No,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/izegem/8870/11358738,,,259000,Apartment,Apartment,,Good,,8870 Izegem,,,,,,,2,,7
https://www.immoweb.be/en/classified/apartment/for-sale/beersel/1650/11278251,,,260000,Apartment,Apartment,,To be done up,,1650 BEERSEL,Not installed,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/11139443,,,260000,Apartment,Apartment,,Good,,6700 ARLON,Installed,,,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/geraardsbergen/9500/20091671,,,260000,Apartment,Apartment,,As new,,9500 Geraardsbergen,,2,,,,,2,,10
https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/11027586,,,265000,Apartment,Apartment,,Good,,6700 ARLON,Installed,2,,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/athus/6791/20191832,,,265000,Apartment,Apartment,,Good,,6791 ATHUS,Installed,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/20187036,,,266000,Apartment,Apartment,,Just renovated,,9230 Wetteren,Installed,,,,,,2,,5
https://www.immoweb.be/en/classified/apartment/for-sale/wijnegem/2110/11321118,20,,275000,Apartment,Apartment,,Good,,2110 Wijnegem,Hyper equipped,,Yes,,,No,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/wijnegem/2110/11317469,20,,275000,Apartment,Apartment,,Good,,2110 Wijnegem,Hyper equipped,,Yes,,,No,2,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/floreffe/5150/20066542,,,279000,Ground floor,Ground floor,,,,5150 Floreffe,,4,,,,No,3,,4
https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/20234486,,,284000,Apartment,Apartment,,Just renovated,,2800 MECHELEN,Installed,2,,,,,1,,10
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20094832,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/tessenderlo/3980/20264532,72,,289000,Apartment,Apartment,,As new,,3980 Tessenderlo,USA installed,2,,,,,2,,23
https://www.immoweb.be/en/classified/apartment/for-sale/hooglede/8830/20149589,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/bastogne/6600/20120404,,,290000,Apartment,Apartment,,,,6600 BASTOGNE,Installed,2,,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/harelbeke/8530/20223094,,,290000,Apartment,Apartment,,Good,,8530 HARELBEKE,,2,,,,,2,,7
https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/11435693,,,295000,Apartment,Apartment,,To be done up,,1040 Etterbeek,Installed,2,,,,No,2,,8
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20193657,,,299000,Apartment,Apartment,,Good,,1180 Uccle,Installed,4,,,,No,2,,5
https://www.immoweb.be/en/classified/apartment/for-sale/onze-lieve-vrouw-lombeek/1760/20233470,,,299000,Apartment,Apartment,,Good,,1760 ONZE-LIEVE-VROUW-LOMBEEK,Installed,3,,,,,2,,18
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20183833,,,305000,Apartment,Apartment,,As new,,9820 Merelbeke,,,Yes,,,,1,,
https://www.immoweb.be/en/classified/duplex/for-sale/mol/2400/20068662,,,319000,Duplex,Duplex,,As new,,2400 Mol,,2,,,,,3,,16
https://www.immoweb.be/en/classified/ground-floor/for-sale/dilbeek/1701/20091554,,,330000,Ground floor,Ground floor,,As new,,1701 Dilbeek,Hyper equipped,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/machelen/1830/20174911,150,,349000,Apartment,Apartment,,As new,,1830 Machelen,Installed,2,,,,No,2,,12
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/20080036,,,350000,Apartment,Apartment,,Good,,1180 Uccle,Hyper equipped,2,,,,No,2,,10
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/11213648,,,350000,Apartment,Apartment,,Good,,8430 MIDDELKERKE,Installed,2,,,,Yes,1,,
https://www.immoweb.be/en/classified/ground-floor/for-sale/ekeren/2180/20241789,30,,358000,Ground floor,Ground floor,,,,2180 EKEREN,,,,,,,3,,
https://www.immoweb.be/en/classified/loft/for-sale/ronse/9600/20236897,175,,359000,Loft,Loft,,Good,,9600 Ronse,Hyper equipped,2,,,,No,4,,20
https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20228888,,,360000,Apartment,Apartment,,Good,,1081 Koekelberg,,2,,,,No,3,,7
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20183837,,,365000,Apartment,Apartment,,As new,,9820 Merelbeke,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/keerbergen/3140/20242726,,,373000,Apartment,Apartment,,Good,,3140 Keerbergen,,,,,,,2,,10
https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/20232613,,,375000,Apartment,Apartment,,Good,,8370 Blankenberge,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11401174,,,375000,Apartment,Apartment,,Good,,8400 Oostende,,,,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20183836,,,375000,Apartment,Apartment,,As new,,9820 Merelbeke,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/sint-michiels/8200/11358574,,,379000,Apartment,Apartment,,Good,,8200 Sint-Michiels,,,,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20227411,,,397000,Apartment,Apartment,,Just renovated,,2600 BERCHEM,Installed,,,,,,2,,6
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11410328,,,420000,Apartment,Apartment,,To be done up,,8400 Oostende,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20183835,,,435379,Apartment,Apartment,,As new,,9820 Merelbeke,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/11479560,,,436000,Apartment,Apartment,,As new,,1200 Woluwe-Saint-Lambert,Hyper equipped,2,,,,No,2,,7
https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/20032875,,,445000,Apartment,Apartment,,Good,,1190 Forest,Hyper equipped,2,,,,No,1,,1square meter
https://www.immoweb.be/en/classified/apartment/for-sale/brussel/1000/20156294,,,449000,Apartment,Apartment,,As new,,1000 Brussel,Hyper equipped,2,,,,No,2,,14
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20195758,,,450000,Apartment,Apartment,,Good,,1050 Ixelles,Installed,3,,,,No,3,,9
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20183832,,,451307,Apartment,Apartment,,As new,,9820 Merelbeke,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/20220240,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/namur/5100/11477254,,,475000,Apartment,Apartment,,,,5100 NAMUR,Installed,2,,,,,3,,20
https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/11158739,,,485000,Apartment,Apartment,,,,9800 Deinze,,2,,,,No,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20183831,,,494371,Apartment,Apartment,,As new,,9820 Merelbeke,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/20242643,,,530000,Apartment,Apartment,,As new,,2018 Antwerpen,Hyper equipped,2,,,,,3,,7
https://www.immoweb.be/en/classified/apartment/for-sale/zwijnaarde/9052/20170672,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20180128,,,,,,,,,,,,,,,,,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20018297,,,550000,Apartment,Apartment,,,,8300 KNOKKE,Installed,2,Yes,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/20183834,,,555000,Apartment,Apartment,,As new,,9820 Merelbeke,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/middelkerke/8430/11285881,,,575000,Apartment,Apartment,,Good,,8430 MIDDELKERKE,Installed,2,,,,,4,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11296214,,,625000,Apartment,Apartment,,Good,,8300 Knokke-Heist,Installed,,,,,Yes,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20228656,,,645000,Apartment,Apartment,,To be done up,,1050 Ixelles,Installed,2,Yes,,,No,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20044769,,,649500,Apartment,Apartment,,Good,,8300 Knokke-Heist,Hyper equipped,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/20161996,,,695000,Penthouse,Penthouse,,As new,,1180 Uccle,Hyper equipped,2,,,,No,2,,22
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11194421,,,710000,Apartment,Apartment,,Good,,8400 Oostende,Hyper equipped,,Yes,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20207016,,,720000,Apartment,Apartment,,,,8620 Nieuwpoort,Installed,,Yes,,,Yes,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20118407,,,765000,Apartment,Apartment,,As new,,8300 Knokke-Heist,,,,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20005000,,,825000,Apartment,Apartment,,As new,,8400 Oostende,Hyper equipped,,Yes,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/11489812,,,845000,Apartment,Apartment,,Good,,8300 Knokke-Heist,,,,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/11396725,,,980000,Apartment,Apartment,,As new,,1050 Ixelles,Hyper equipped,3,,,,,2,,3
https://www.immoweb.be/en/classified/apartment/for-sale/wachtebeke/9185/20119215,,,1020000,Apartment,Apartment,,,,9185 WACHTEBEKE,Installed,2,,,,,6,,15
https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/20121640,115,,1050000,Duplex,Duplex,,As new,,1050 Ixelles,Hyper equipped,2,,,,No,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11466505,,,1075000,Apartment,Apartment,,Just renovated,,8300 Knokke,,,Yes,,,,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/heist-aan-zee/8301/20191696,,,1190000,Apartment,Apartment,,Good,,8301 Heist-aan-Zee,,,,,,Yes,2,,10
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/11024587,,,1195000,Apartment,Apartment,,Good,,8300 Knokke,,,Yes,,,No,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20071698,,,1299000,Apartment,Apartment,,,,9000 GENT,Hyper equipped,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20119949,,,1335000,Apartment,Apartment,,As new,,8300 Knokke-Heist,Hyper equipped,2,,,,No,2,,15
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/20147461,,,1450000,Apartment,Apartment,,Just renovated,,1150 Woluwe-Saint-Pierre,Hyper equipped,,,,,No,3,,40
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20160399,,,2500000,Apartment,Apartment,,As new,,8300 Knokke,,,Yes,,,,2,,
https://www.immoweb.be/en/classified/service-flat/for-sale/edegem/2650/20275410,,,249275,Service flat,Service flat,,Good,,2650 Edegem,Installed,,Yes,,,No,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1020/20162492,,,445000,Apartment,Apartment,,As new,,1020 Bruxelles,USA installed,2,,,,,6,,
https://www.immoweb.be/en/classified/penthouse/for-sale/aalst/9300/20253744,,,549000,Penthouse,Penthouse,,As new,,9300 Aalst,Hyper equipped,3,Yes,,,No,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke/8300/20265658,,,690000,Apartment,Apartment,,,,8300 KNOKKE,Installed,2,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20264588,,,175000,Apartment,Apartment,,Good,,8400 Oostende,Installed,4,,,,No,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/brugge/8000/20268657,,,259000,Apartment,Apartment,,As new,,8000 Brugge,Installed,3,,,,No,1,,11
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/20293429,,,185000,Apartment,Apartment,,Good,,,Installed,,,,,Yes,1,,
https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/20261656,,,739000,Apartment,Apartment,,As new,,8300 Knokke-Heist,,,Yes,,,Yes,3,,
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20281986,,,380000,Apartment,Apartment,,,,1000 BRUXELLES,Semi equipped,2,,,,,1,,4
https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20278365,,,160000,Apartment,Apartment,,To be done up,,2020 Antwerpen,,,,,,,1,,1square meter
https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/20286636,,,265000,Apartment,Apartment,,Good,,8450 Bredene,Installed,3,,,,No,2,,9
https://www.immoweb.be/en/classified/apartment/for-sale/heusden/9070/20287389,,,495000,Apartment,Apartment,,As new,,9070 Heusden,Hyper equipped,2,,,,No,3,,32
https://www.immoweb.be/en/classified/penthouse/for-sale/bruxelles/1000/20285992,,,570000,Penthouse,Penthouse,,Good,,1000 BRUXELLES,Installed,2,,,,No,2,,30
https://www.immoweb.be/en/classified/apartment/for-sale/putte/2580/20302799,,,333325,Apartment,Apartment,,,,2580 Putte,Hyper equipped,,Yes,,,,2,,
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20303011,,,454500,Apartment,Apartment,,As new,,9000 Gent,Hyper equipped,2,,,,No,2,,26
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302993,,,459000,Apartment,Apartment,,As new,,9000 Gent,Hyper equipped,2,,,,No,2,,13
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302991,,,529000,Apartment,Apartment,,As new,,9000 Gent,Hyper equipped,2,,,,No,3,,26
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302994,,,539000,Apartment,Apartment,,As new,,9000 Gent,Hyper equipped,2,,,,No,3,,26
https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20302986,,,549000,Apartment,Apartment,,As new,,9000 Gent,Hyper equipped,2,,,,No,3,,26
