Locality,Type of Property,Price,Number of Rooms,Living Area,Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area,Garden,Garden Area,Surface of the Land,Surface Area of the Plot,Number of Facades,Swimming Pool,State of the Building
9420 Erpe-Mere,House,,,,0,0,0,0,,0,,,,,0,
7903 BLICQUY,Country house,,,,0,0,0,0,,0,,,,,0,
9700 Oudenaarde,House,,,,0,0,0,0,,0,,,,,0,
1600 Sint-Pieters-Leeuw,House,,,,0,0,0,0,,0,,,,,0,
9042 Sint-Kruis-Winkel,House,,,,0,0,0,0,,0,,,,,0,
9300 Aalst (9300),House,,,,0,0,0,0,,0,,,,,0,
9450 Denderhoutem,House,,,,0,0,0,0,,0,,,,,0,
9300 Aalst (9300),House,,,,0,0,0,0,,0,,,,,0,
9290 Berlare,House,,,,0,0,0,0,,0,,,,,0,
3570 Alken,Villa,,,,0,0,0,0,,0,,,,,0,
9620 Zottegem,House,,,,0,0,0,0,,0,,,,,0,
3570 Alken,Villa,,,,0,0,0,0,,0,,,,,0,
2570 Duffel,House,,,,0,0,0,0,,0,,,,,0,
1000 Bruxelles,Apartment block,,,,0,0,0,0,,0,,,,,0,
4000 Liège,House,,,,0,0,0,0,,0,,,,,0,
8570 ANZEGEM,House,,,,0,0,0,0,,0,,,,,0,
1560 Hoeilaart,House,,,,0,0,0,0,,0,,,,,0,
9041 Oostakker,Villa,,,,0,0,0,0,,0,,,,,0,
4100 Seraing,House,,,,0,0,0,0,,0,,,,,0,
4430 Ans,House,,,,0,0,0,0,,0,,,,,0,
2880 BORNEM,House,,,,0,0,0,0,,0,,,,,0,
9000 Gent,House,,,,0,0,0,0,,0,,,,,0,
2800 MECHELEN,House,,,,0,0,0,0,,0,,,,,0,
1020 Laeken,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
9830 Sint-Martens-Latem,House,,,,0,0,0,0,,0,,,,,0,
9890 Gavere,Nova,,,,0,0,0,0,,0,,,,,0,
1360 PERWEZ,L'Orée de Seumay,,,,0,0,0,0,,0,,,,,0,
8760 Meulebeke,New real estate project - Houses,,,,0,0,0,0,,0,,,,,0,
9570 Lierde,Gentse Steenweg 27 - Lierde,,,,0,0,0,0,,0,,,,,0,
9800 Deinze Astene,Hof Pattyn,,,,0,0,0,0,,0,,,,,0,
9050 Gentbrugge,Rode Kruisstraat - Gentbrugge,,,,0,0,0,0,,0,,,,,0,
9051 Sint-Denijs-Westrem,New real estate project - Houses,,,,0,0,0,0,,0,,,,,0,
1050 Ixelles,Spring Gardens - Maisons,,,,0,0,0,0,,0,,,,,0,
1050 Elsene,Spring Gardens Woningen,,,,0,0,0,0,,0,,,,,0,
1070 Anderlecht,House,,,,0,0,0,0,,0,,,,,0,
8920 Langemark-Poelkapelle,House,,,,0,0,0,0,,0,,,,,0,
2800 MECHELEN,House,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,House,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
9660 BRAKEL,House,,,,0,0,0,0,,0,,,,,0,
9890 Dikkelvenne,Farmhouse,,,,0,0,0,0,,0,,,,,0,
2060 ANTWERPEN,Mansion,,,,0,0,0,0,,0,,,,,0,
7880 FLOBECQ,House,,,,0,0,0,0,,0,,,,,0,
8200 Sint-Michiels,House,,,,0,0,0,0,,0,,,,,0,
2221 Heist-op-den-Berg,House,,,,0,0,0,0,,0,,,,,0,
9000 Gent,House,,,,0,0,0,0,,0,,,,,0,
8570 VICHTE,Mansion,,,,0,0,0,0,,0,,,,,0,
9070 Heusden (9070),House,,,,0,0,0,0,,0,,,,,0,
9450 HAALTERT,Muisstraat-Papestraat HAALTERT,,,,0,0,0,0,,0,,,,,0,
2570 DUFFEL,House,,,,0,0,0,0,,0,,,,,0,
2890 LIPPELO,Villa,,,,0,0,0,0,,0,,,,,0,
2018 ANTWERPEN,House,,,,0,0,0,0,,0,,,,,0,
3090 Overijse,House,,,,0,0,0,0,,0,,,,,0,
7190 ECAUSSINNES-D'ENGHIEN,House,,,,0,0,0,0,,0,,,,,0,
6790 Aubange,House,,,,0,0,0,0,,0,,,,,0,
9070 DESTELBERGEN,House,,,,0,0,0,0,,0,,,,,0,
1210 Sint-Joost-ten-Node,Apartment block,,,,0,0,0,0,,0,,,,,0,
1300 WAVRE,House,,,,0,0,0,0,,0,,,,,0,
4000 Liège,Apartment block,,,,0,0,0,0,,0,,,,,0,
8510 Rollegem,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
8740 Pittem,House,,,,0,0,0,0,,0,,,,,0,
8830 Gits,House,,,,0,0,0,0,,0,,,,,0,
6717 Attert,House,,,,0,0,0,0,,0,,,,,0,
1150 Sint-Pieters-Woluwe,Exceptional property,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,House,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,House,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,House,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
9500 GERAARDSBERGEN,House,,,,0,0,0,0,,0,,,,,0,
4577 Stree,Villa,,,,0,0,0,0,,0,,,,,0,
9000 Gent,House,,,,0,0,0,0,,0,,,,,0,
1470 Bousval,House,,,,0,0,0,0,,0,,,,,0,
9550 HERZELE,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
9550 HERZELE,House,,,,0,0,0,0,,0,,,,,0,
9620 Zottegem,House,,,,0,0,0,0,,0,,,,,0,
1700 Dilbeek,Villa,,,,0,0,0,0,,0,,,,,0,
4100 Seraing,House,,,,0,0,0,0,,0,,,,,0,
3110 Rotselaar,House,,,,0,0,0,0,,0,,,,,0,
9700 Oudenaarde,House,,,,0,0,0,0,,0,,,,,0,
7940 BRUGELETTE,House,,,,0,0,0,0,,0,,,,,0,
4400 FLÉMALLE,House,,,,0,0,0,0,,0,,,,,0,
9940 ERTVELDE,House,,,,0,0,0,0,,0,,,,,0,
2570 DUFFEL,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
2570 DUFFEL,Apartment block,,,,0,0,0,0,,0,,,,,0,
2570 DUFFEL,House,,,,0,0,0,0,,0,,,,,0,
9050 Gent,House,,,,0,0,0,0,,0,,,,,0,
2610 WILRIJK,House,,,,0,0,0,0,,0,,,,,0,
8740 PITTEM,Country house,,,,0,0,0,0,,0,,,,,0,
8740 PITTEM,Mixed-use building,,,,0,0,0,0,,0,,,,,0,
